model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,0,1,13.0,0.6584986448287964,,0.6190425753593445,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,5,10,18.0,0.6603600978851318,0.003924287610334494,0.6233074367046356,0.006275476161125754,0.8300000000000001,0.1636391694484477,1.2,0.4216370213557839
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,10,10,23.0,0.6594293713569641,0.002943215707750864,0.6258815467357636,0.005886486938195861,0.73,0.1636391694484477,1.1,0.31622776601683794
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,15,10,28.0,0.663152277469635,0.004905359512918122,0.6304286479949951,0.007261860360374146,0.58,0.1229272594305718,1.5,0.5270462766947299
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,20,10,33.0,0.663152277469635,0.004905359512918122,0.6333353638648986,0.005898867843177513,0.54,0.12649110640673514,1.5,0.5270462766947298
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,25,10,38.0,0.663152277469635,0.00490535951291812,0.6341456532478332,0.005652306577459989,0.51,0.1286683937707919,1.5,0.5270462766947299
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,30,10,43.0,0.663152277469635,0.004905359512918119,0.638046944141388,0.004429467542234473,0.44000000000000006,0.11737877907772672,1.5,0.5270462766947299
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,35,10,48.0,0.6659444570541382,0.00392428761033449,0.6391083717346191,0.004621290624654552,0.39,0.11005049346146119,1.8,0.4216370213557839
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,40,10,53.0,0.6668751835823059,0.002943215707750874,0.6415921807289123,0.0017688479068179558,0.35,0.052704627669472995,1.9,0.31622776601683794
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,45,10,58.0,0.6668751835823059,0.002943215707750874,0.6417740285396576,0.002225353128509148,0.33999999999999997,0.06992058987801011,1.9,0.31622776601683794
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,50,10,63.0,0.6678059101104736,0.0,0.6427671492099762,0.0005294018545219381,0.3,0.0,2.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,51,10,64.0,0.6678059101104736,0.0,0.6429345607757568,0.0,0.3,0.0,2.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,0,1,13.0,0.569320023059845,,0.5430797338485718,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,5,10,18.0,0.5760755658149719,0.014820803284262265,0.5530943095684051,0.008360480842125649,0.6799999999999999,0.20439612955674524,1.5,1.0801234497346435
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,23.0,0.5863114714622497,0.021935865563485462,0.5589720487594605,0.014858081510523802,0.6,0.24037008503093263,2.6,2.1705094128132942
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,15,10,28.0,0.5870789706707,0.01976863390515049,0.5610625326633454,0.008730934867351608,0.47000000000000003,0.12516655570345722,2.3,1.4181364924121764
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,20,10,33.0,0.5845712900161744,0.020320035314091253,0.5617995083332061,0.010479850958627595,0.45,0.11785113019775789,2.3,1.8287822299126937
