model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,30,10,0.5666733860969544,0.010150165916479378,0.544517058134079,0.004779031207996136,0.32999999999999996,0.0674948557710553,4.0,1.1547005383792517
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,35,10,0.5738122463226318,0.0052473243146057245,0.5475691795349121,0.0032500541815804174,0.27999999999999997,0.04216370213557839,4.6,1.1737877907772674
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,40,10,0.5778768062591553,0.0,0.5510875523090363,0.00234082825857606,0.22999999999999998,0.04830458915396478,5.3,1.2516655570345725
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,45,10,0.5778768062591553,0.0,0.5509960770606994,0.0015961928772887423,0.25,0.05270462766947298,5.2,0.9189365834726815
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,50,10,0.5778768062591553,0.0,0.5525010824203491,0.0,0.2,0.0,6.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,51,10,0.5778768062591553,0.0,0.5525010824203491,0.0,0.2,0.0,6.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,0,1,0.29440879821777344,,0.26452168822288513,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,5,10,0.3010033130645752,0.018010349869523726,0.2807198971509933,0.015151980976544912,0.5599999999999999,0.2836272984824353,2.4,3.062315754094894
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,10,10,0.3091566741466522,0.017840586922988923,0.28774258494377136,0.018363366316317655,0.44000000000000006,0.3373096170846272,4.2,4.049691346263317
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,15,10,0.3250086665153503,0.020056576419450165,0.3035541445016861,0.01600326674342202,0.13999999999999999,0.16465452046971293,8.0,3.972125095937662
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,20,10,0.3361235409975052,0.026018607554704386,0.31032882034778597,0.02128313783576447,0.16,0.2674987019698517,8.1,4.677368680976279
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,25,10,0.3354785323143005,0.022630579240476574,0.3121577829122543,0.013906812369560442,0.05,0.09718253158075502,9.1,3.7844711945293255
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,30,10,0.3360873758792877,0.016910688949080706,0.31400507390499116,0.00943738013075117,0.04,0.051639777949432225,10.6,0.5163977794943223
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,35,10,0.34892168641090393,0.010146413369448428,0.3217859148979187,0.005691589606722944,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,40,10,0.3425045311450958,0.015498902432603115,0.31807073056697843,0.008563045321475653,0.01,0.03162277660168379,10.9,0.316227766016838
