model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,25,10,0.7733366668224335,0.0024443761527880438,0.7227926135063172,0.037397517343360144,0.62,0.3359894178227774,3.3,2.7507574714370344
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,30,10,0.7747785091400147,0.0015919571848646485,0.7575013875961304,0.017130116820008853,0.32,0.17511900715418266,5.8,1.8737959096740262
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,35,10,0.776093202829361,0.0016917977091296514,0.7410856127738953,0.03435642000258299,0.48,0.2973961069759395,4.9,2.64365067451978
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,40,10,0.7763199150562287,0.0009748706988189806,0.7595682084560395,0.024670952622605668,0.31,0.20789954839350233,5.9,1.911950719959998
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,45,10,0.7760116338729859,0.001299827598425308,0.7638991355895997,0.018841832088250028,0.27999999999999997,0.18737959096740264,6.7,1.6363916944844767
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,50,10,0.7766281962394714,0.0,0.7730283737182617,0.0,0.2,0.0,7.9,1.2866839377079187
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,51,10,0.7766281962394714,0.0,0.7730283737182617,0.0,0.2,0.0,7.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,0,1,0.6258095502853394,,0.5925480723381042,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,5,10,0.6422351121902465,0.01613145835512512,0.6051377713680267,0.008886511111303305,0.6599999999999999,0.2065591117977289,2.0,0.9428090415820634
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,0.641586697101593,0.014674772769551363,0.606106412410736,0.010530417555224093,0.61,0.1852925614624973,2.2,1.3984117975602022
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,15,10,0.640769225358963,0.014313892829600947,0.610087376832962,0.013236618708571441,0.49000000000000005,0.28460498941515416,2.7,1.888562063228706
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,20,10,0.653364485502243,0.0160243982358656,0.613753616809845,0.00944036235755866,0.47000000000000003,0.17029386365926405,3.0,1.414213562373095
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,25,10,0.6554486930370331,0.0071553589147922035,0.6244680285453796,0.006817963850378808,0.24,0.1429840705968481,4.7,1.2516655570345727
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,30,10,0.6583939313888549,0.007825407619424804,0.6245108842849731,0.007805445674556659,0.25,0.135400640077266,4.7,1.4944341180973262
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,35,10,0.6603239953517914,0.013002976568742277,0.6268846809864044,0.009821184082224455,0.2,0.16329931618554522,5.1,1.728840330651992
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,40,10,0.6628589153289794,0.006237493686579301,0.6319321930408478,0.004735697709206921,0.13999999999999999,0.0699205898780101,6.0,1.0540925533894598
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,45,10,0.6658176183700562,0.0,0.6346712112426758,0.002817439258374464,0.1,0.0,6.5,0.8498365855987974
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,50,10,0.6658176183700562,0.0,0.6362752318382263,0.0,0.1,0.0,7.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,51,10,0.6658176183700562,0.0,0.6362752318382263,0.0,0.1,0.0,7.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,0,1,0.6504073143005371,,0.6062809228897095,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,5,10,0.6504073143005371,0.0,0.609907740354538,0.004671320424144129,0.8400000000000001,0.18378731669453627,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,0.6592652559280395,0.008416951252355481,0.6244173049926758,0.009531249887820899,0.54,0.20110804171997812,1.7,0.4830458915396479
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,15,10,0.6659099996089936,0.009337151168166363,0.6294875502586365,0.008416714429619852,0.36,0.16465452046971293,1.9,0.5676462121975466
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,20,10,0.6618639409542084,0.01083667420511795,0.627960604429245,0.010650209388518395,0.4,0.16996731711975951,1.9,0.9944289260117533
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,25,10,0.6637408256530761,0.008471834922084802,0.6357604563236237,0.006217640114247608,0.29,0.031622776601683784,2.3,0.8232726023485646
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,30,10,0.6694892644882202,0.006417464090070774,0.639795583486557,0.0058973334207998865,0.26,0.05163977794943221,2.9,0.8755950357709131
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,35,10,0.6723556518554688,0.000905488841500809,0.6409991085529327,0.0073862315283241865,0.24,0.05163977794943222,3.2,0.9189365834726815
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,40,10,0.6723556518554688,0.0009054888415008066,0.6448056638240814,0.002908451552954326,0.22999999999999998,0.04830458915396478,3.6,0.5163977794943223
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,45,10,0.672140896320343,0.0010373677892788367,0.6461947143077851,0.0021837702558397194,0.2,0.0,3.7,0.4830458915396479
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,50,10,0.6727851629257202,0.0,0.6469277620315552,0.00208118510714064,0.21000000000000002,0.03162277660168379,3.9,0.316227766016838
