model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,20,10,33.0,0.24878324270248414,0.0043564980574886236,0.20697084218263626,0.012848159141209167,0.36,0.1505545305418162,1.4,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,25,10,38.0,0.2479396104812622,0.004075130784317178,0.2073071539402008,0.009827858558107652,0.31,0.1286683937707919,1.3,0.4830458915396479
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,30,10,43.0,0.24878324270248414,0.004356498057488644,0.2092845156788826,0.010922925471719433,0.28,0.13165611772087665,1.4,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,35,10,48.0,0.25215777158737185,0.0035570657687577613,0.21754483729600907,0.00793808809993031,0.22999999999999998,0.09486832980505137,1.8,0.4216370213557839
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,40,10,53.0,0.25300140380859376,0.002667799326568306,0.2209059029817581,0.003514650310779748,0.2,0.0,1.9,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,45,10,58.0,0.25047050714492797,0.0043564980574886435,0.21822769492864608,0.0051542110127006675,0.2,0.0,1.6,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,50,10,63.0,0.2538450360298157,0.0,0.22304566204547882,0.0,0.2,0.0,2.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,51,10,64.0,0.2538450360298157,0.0,0.22304566204547882,0.0,0.2,0.0,2.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,0,1,13.0,0.5200783014297485,,0.48230868577957153,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,5,10,18.0,0.5200783014297485,0.0,0.4839408278465271,0.002273934644221025,0.9200000000000002,0.0918936583472681,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,10,10,23.0,0.5313182771205902,0.021970386577420814,0.4909659713506699,0.011493584493287808,0.78,0.19321835661585918,1.6,1.2649110640673518
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,15,10,28.0,0.5403371632099152,0.027116547463459217,0.4979364901781082,0.01644222505475362,0.6599999999999999,0.2836272984824353,2.2,1.8135294011647258
